KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FILE CREATED:,11/21/22 22:46,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11/3/22,9:15:00,0,Homer Deep,12.591,90.6,8.95,30.61,47.625,4.49,1.195,7.86,-71.5,7.242,5.16
,,,,,,,,,,,,,,
,,,MEAN VALUE:,8.677,93.1,9.15,22.5,35.155,2.59,NaN,NA,-68.6,9.886,5.53
,,,STANDARD DEVIATION:,5.138,4.1,0.55,12.93,20.176,1.54,NaN,0.1,4.8,5.604,0.44
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,22:30:00,0,Homer Deep,0.069,98.9,9.14,0.1,0.211,1.49,1.188,7.63,-60.3,19.182,5.8
10/17/22,20:15:00,0,Homer Deep,12.052,87.5,8.26,30.02,46.555,0.88,1.184,7.86,-71.8,9.421,5.75
11/2/22,4:30:21,0,Homer Deep,9.504,92.5,9.58,29.76,46.681,4.85,1.187,7.86,-70.8,5.449,5.8
11/4/22,23:00:00,0,Homer Deep,13.083,93.3,9.64,30.11,47.172,3.12,NaN,7.86,-71.3,5.49,4.77
,,,,,,,,,,,,,,
,,,MEAN VALUE:,8.68,93.4,9.02,22.76,35.482,4.4,NaN,NA,-70.1,10.506,5.71
,,,STANDARD DEVIATION:,4.967,3.7,0.35,12.42,19.326,6.71,NaN,0.11,5.4,4.79,0.27
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,22:45:00,0,Homer Deep,0.071,99,9.15,0.1,0.211,1.46,1.194,7.63,-60.4,19.137,5.8
10/10/22,23:00:00,0,Homer Deep,0.074,99,9.16,0.1,0.211,1.46,1.197,7.63,-60.5,19.087,5.82
10/10/22,23:15:00,0,Homer Deep,0.078,99,9.17,0.1,0.211,1.38,1.189,7.63,-60.5,19.053,5.82
10/17/22,2:00:00,0,Homer Deep,9.751,87.9,8.31,29.62,45.983,1.23,1.192,7.86,-71.8,9.447,5.74
10/20/22,0:15:00,0,Homer Deep,11.741,87.8,8.3,29.93,46.436,0.73,1.184,7.88,-72.6,9.353,5.76
10/20/22,4:00:00,0,Homer Deep,9.607,91.5,8.75,29.25,45.5,1.31,1.185,7.88,-72.7,9.074,5.76
10/26/22,12:45:28,0,Homer Deep,13.427,93,9.08,29.01,45.254,2.53,1.192,7.91,-74.3,8.192,5.79
10/27/22,22:45:24,0,Homer Deep,7.549,93.1,9.12,29.17,45.5,2.9,1.195,7.91,-74.5,8.011,5.79
10/28/22,17:45:24,0,Homer Deep,13.103,92.8,9.1,29.31,45.718,2.69,1.191,7.91,-74.5,7.899,5.79
10/29/22,12:45:25,0,Homer Deep,11.048,91.5,9.22,29.19,45.684,7.92,1.193,7.9,-73.3,6.771,5.8
10/30/22,4:00:24,0,Homer Deep,12.223,95.7,9.61,29.91,46.702,26.81,1.192,7.88,-72.3,6.716,5.8
